*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************************
*****          SMIC Interconnect Capacitance Table         ************
***********************************************************************

Process: 	0.18um 1P6M Logic Low Leakage Salicide, Dual Voltage (1.8V/5V)
Version: 	1.3
Date: 		2007-06-21
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.230	0.210	2.65E-01	2.55E-02	1.08E-02	1.13E-01	7.39E-03
0.230	0.230	2.49E-01	2.64E-02	1.08E-02	1.05E-01	7.83E-03
0.230	0.330	1.96E-01	3.08E-02	1.08E-02	7.68E-02	1.00E-02
0.230	0.430	1.67E-01	3.48E-02	1.08E-02	6.09E-02	1.20E-02
0.230	0.530	1.50E-01	3.88E-02	1.08E-02	5.06E-02	1.40E-02
0.230	0.630	1.38E-01	4.24E-02	1.08E-02	4.32E-02	1.58E-02
0.230	0.800	1.25E-01	4.80E-02	1.08E-02	3.44E-02	1.86E-02
0.230	1.000	1.16E-01	5.38E-02	1.08E-02	2.75E-02	2.15E-02
0.230	1.200	1.11E-01	5.89E-02	1.08E-02	2.26E-02	2.41E-02
0.230	1.400	1.07E-01	6.32E-02	1.08E-02	1.90E-02	2.62E-02
0.230	1.600	1.05E-01	6.70E-02	1.08E-02	1.62E-02	2.81E-02
0.230	1.800	1.04E-01	7.02E-02	1.08E-02	1.40E-02	2.97E-02
0.230	2.000	1.02E-01	7.31E-02	1.08E-02	1.22E-02	3.11E-02
0.230	2.500	1.01E-01	7.87E-02	1.08E-02	9.00E-03	3.39E-02
0.230	3.000	1.00E-01	8.27E-02	1.08E-02	6.92E-03	3.60E-02
0.230	4.000	9.93E-02	8.77E-02	1.08E-02	4.48E-03	3.85E-02
0.230	5.000	9.91E-02	9.06E-02	1.08E-02	3.23E-03	3.99E-02
0.230	7.000	9.89E-02	9.38E-02	1.08E-02	1.95E-03	4.15E-02
0.230	10.000	9.89E-02	9.55E-02	1.08E-02	1.27E-03	4.24E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	M1-POLY (on AA) *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.230	0.210	2.67E-01	3.24E-02	1.45E-02	1.12E-01	8.93E-03
0.230	0.230	2.51E-01	3.36E-02	1.45E-02	1.03E-01	9.55E-03
0.230	0.330	1.99E-01	3.91E-02	1.45E-02	7.48E-02	1.23E-02
0.230	0.430	1.71E-01	4.43E-02	1.45E-02	5.88E-02	1.49E-02
0.230	0.530	1.54E-01	4.91E-02	1.45E-02	4.83E-02	1.73E-02
0.230	0.630	1.43E-01	5.35E-02	1.45E-02	4.08E-02	1.95E-02
0.230	0.800	1.31E-01	6.01E-02	1.45E-02	3.19E-02	2.28E-02
0.230	1.000	1.24E-01	6.68E-02	1.45E-02	2.50E-02	2.62E-02
0.230	1.200	1.19E-01	7.24E-02	1.45E-02	2.02E-02	2.89E-02
0.230	1.400	1.16E-01	7.71E-02	1.45E-02	1.67E-02	3.13E-02
0.230	1.600	1.14E-01	8.11E-02	1.45E-02	1.41E-02	3.33E-02
0.230	1.800	1.13E-01	8.43E-02	1.45E-02	1.20E-02	3.49E-02
0.230	2.000	1.12E-01	8.71E-02	1.45E-02	1.04E-02	3.63E-02
0.230	2.500	1.11E-01	9.25E-02	1.45E-02	7.55E-03	3.90E-02
0.230	3.000	1.11E-01	9.62E-02	1.45E-02	5.74E-03	4.08E-02
0.230	4.000	1.10E-01	1.00E-01	1.45E-02	3.72E-03	4.30E-02
0.230	5.000	1.10E-01	1.03E-01	1.45E-02	2.67E-03	4.43E-02
0.230	7.000	1.10E-01	1.05E-01	1.45E-02	1.75E-03	4.54E-02
0.230	10.000	1.10E-01	1.07E-01	1.45E-02	1.12E-03	4.62E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M2-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.280	0.260	2.29E-01	1.39E-02	4.46E-03	9.92E-02	4.73E-03
0.280	0.280	2.18E-01	1.43E-02	4.46E-03	9.35E-02	4.90E-03
0.280	0.380	1.78E-01	1.59E-02	4.46E-03	7.33E-02	5.69E-03
0.280	0.480	1.54E-01	1.74E-02	4.46E-03	6.11E-02	6.47E-03
0.280	0.580	1.38E-01	1.89E-02	4.46E-03	5.28E-02	7.21E-03
0.280	0.680	1.27E-01	2.03E-02	4.46E-03	4.68E-02	7.93E-03
0.280	0.800	1.17E-01	2.20E-02	4.46E-03	4.13E-02	8.77E-03
0.280	1.000	1.05E-01	2.47E-02	4.46E-03	3.48E-02	1.01E-02
0.280	1.200	9.77E-02	2.72E-02	4.46E-03	3.01E-02	1.14E-02
0.280	1.400	9.22E-02	2.95E-02	4.46E-03	2.66E-02	1.25E-02
0.280	1.600	8.81E-02	3.17E-02	4.46E-03	2.38E-02	1.36E-02
0.280	1.800	8.50E-02	3.38E-02	4.46E-03	2.15E-02	1.47E-02
0.280	2.000	8.26E-02	3.58E-02	4.46E-03	1.96E-02	1.56E-02
0.280	2.500	7.85E-02	4.01E-02	4.46E-03	1.59E-02	1.78E-02
0.280	3.000	7.60E-02	4.37E-02	4.46E-03	1.32E-02	1.96E-02
0.280	4.000	7.34E-02	4.96E-02	4.46E-03	9.59E-03	2.26E-02
0.280	5.000	7.22E-02	5.37E-02	4.46E-03	7.34E-03	2.46E-02
0.280	7.000	7.11E-02	5.93E-02	4.46E-03	4.70E-03	2.74E-02
0.280	10.000	7.06E-02	6.35E-02	4.46E-03	2.84E-03	2.95E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	M2-POLY (on AA) *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.280	0.260	2.29E-01	1.47E-02	4.89E-03	9.91E-02	4.92E-03
0.280	0.280	2.18E-01	1.51E-02	4.89E-03	9.33E-02	5.10E-03
0.280	0.380	1.78E-01	1.68E-02	4.89E-03	7.32E-02	5.96E-03
0.280	0.480	1.54E-01	1.85E-02	4.89E-03	6.09E-02	6.80E-03
0.280	0.580	1.39E-01	2.01E-02	4.89E-03	5.26E-02	7.61E-03
0.280	0.680	1.27E-01	2.17E-02	4.89E-03	4.65E-02	8.40E-03
0.280	0.800	1.17E-01	2.35E-02	4.89E-03	4.10E-02	9.31E-03
0.280	1.000	1.06E-01	2.64E-02	4.89E-03	3.44E-02	1.08E-02
0.280	1.200	9.83E-02	2.91E-02	4.89E-03	2.97E-02	1.21E-02
0.280	1.400	9.29E-02	3.16E-02	4.89E-03	2.61E-02	1.34E-02
0.280	1.600	8.89E-02	3.40E-02	4.89E-03	2.33E-02	1.46E-02
0.280	1.800	8.59E-02	3.62E-02	4.89E-03	2.10E-02	1.57E-02
0.280	2.000	8.36E-02	3.83E-02	4.89E-03	1.90E-02	1.67E-02
0.280	2.500	7.97E-02	4.27E-02	4.89E-03	1.53E-02	1.89E-02
0.280	3.000	7.73E-02	4.65E-02	4.89E-03	1.26E-02	2.08E-02
0.280	4.000	7.49E-02	5.24E-02	4.89E-03	9.03E-03	2.38E-02
0.280	5.000	7.38E-02	5.66E-02	4.89E-03	6.80E-03	2.59E-02
0.280	7.000	7.29E-02	6.20E-02	4.89E-03	4.32E-03	2.85E-02
0.280	10.000	7.26E-02	6.60E-02	4.89E-03	2.60E-03	3.06E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M2-M1 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.280	0.260	2.32E-01	2.64E-02	1.11E-02	9.68E-02	7.63E-03
0.280	0.280	2.21E-01	2.71E-02	1.11E-02	9.09E-02	8.01E-03
0.280	0.380	1.82E-01	3.08E-02	1.11E-02	7.02E-02	9.85E-03
0.280	0.480	1.59E-01	3.43E-02	1.11E-02	5.74E-02	1.16E-02
0.280	0.580	1.44E-01	3.76E-02	1.11E-02	4.86E-02	1.32E-02
0.280	0.680	1.34E-01	4.07E-02	1.11E-02	4.21E-02	1.48E-02
0.280	0.800	1.25E-01	4.42E-02	1.11E-02	3.62E-02	1.65E-02
